# Minimization Cost of NMF and Corresponding AICc
#
# *** Summary for the NMF analysis ***
# Range of order:	 1 - 300
# Number of Attempts:	 100
#
# Input Data File:	 ../finalv135_01_W1.txt
#
# Output for Cost and AIC:	 finalv135_01_W1_energy.txt
# Output for Basis:       	 finalv135_01_W1_basis.txt
# Output for Occurrence   	 finalv135_01_W1_coeff.txt
#
# Time used for initialization:	 31.859102487564087
#
#Order	E	AICc	Time_Used
1	79.28851308070404	-24676.58313655815	14.4026038646698
2	63.46625797576915	-25202.872644716415	5.363521099090576
3	54.21026279015281	-25241.290235467288	19.45918846130371
4	46.409621513461374	-25138.239192828085	58.013307094573975
5	39.30871894756269	-24940.33835785322	121.45235896110535
6	33.03833413465273	-24590.241281544564	124.12514805793762
7	27.89708679707698	-23960.81168606388	224.17922163009644
8	23.863603002057125	-22926.504749434585	445.1214575767517
9	20.18795131438154	-21518.433740075103	329.7894802093506
10	16.677686989789812	-19644.30786173037	587.6263272762299
11	13.515792906978422	-17013.890367620654	568.5802090167999
12	10.448703948265191	-13349.844899574124	643.6163322925568
13	7.998840312920068	-7629.099620452347	690.4248471260071
14	5.887376432700701	1601.172703186341	666.825709104538
